,image,label
333,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00334.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00334.tif
334,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00335.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00335.tif
335,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00336.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00336.tif
336,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00337.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00337.tif
337,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00338.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00338.tif
338,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00339.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00339.tif
339,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00340.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00340.tif
340,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00341.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00341.tif
341,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00342.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00342.tif
342,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00343.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00343.tif
343,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00344.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00344.tif
344,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00345.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00345.tif
345,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00346.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00346.tif
346,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00347.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00347.tif
347,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00348.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00348.tif
348,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00349.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00349.tif
349,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00350.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00350.tif
350,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00351.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00351.tif
351,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00352.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00352.tif
352,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00353.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00353.tif
353,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00354.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00354.tif
354,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00355.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00355.tif
355,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00356.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00356.tif
356,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00357.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00357.tif
357,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00358.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00358.tif
358,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00359.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00359.tif
359,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00360.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00360.tif
360,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00361.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00361.tif
361,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00362.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00362.tif
362,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00363.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00363.tif
363,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00364.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00364.tif
364,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00365.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00365.tif
365,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00366.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00366.tif
366,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00367.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00367.tif
367,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00368.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00368.tif
368,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00369.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00369.tif
369,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00370.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00370.tif
370,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00371.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00371.tif
371,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00372.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00372.tif
372,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00373.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00373.tif
373,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00374.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00374.tif
374,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00375.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00375.tif
375,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00376.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00376.tif
376,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00377.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00377.tif
377,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00378.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00378.tif
378,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00379.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00379.tif
379,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00380.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00380.tif
380,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00381.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00381.tif
381,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00382.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00382.tif
382,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00383.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00383.tif
383,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00384.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00384.tif
384,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00385.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00385.tif
385,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00386.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00386.tif
386,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00387.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00387.tif
387,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00388.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00388.tif
388,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00389.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00389.tif
389,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00390.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00390.tif
390,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00391.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00391.tif
391,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00392.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00392.tif
392,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00393.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00393.tif
393,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00394.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00394.tif
394,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00395.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00395.tif
395,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00396.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00396.tif
396,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00397.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00397.tif
397,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00398.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00398.tif
398,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00399.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00399.tif
399,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00400.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00400.tif
400,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00401.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00401.tif
401,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00402.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00402.tif
402,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00403.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00403.tif
403,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00404.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00404.tif
404,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00405.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00405.tif
405,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00406.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00406.tif
406,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00407.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00407.tif
407,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00408.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00408.tif
408,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00409.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00409.tif
409,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00410.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00410.tif
410,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00411.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00411.tif
411,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00412.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00412.tif
412,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00413.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00413.tif
413,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00414.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00414.tif
414,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00415.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00415.tif
415,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00416.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00416.tif
416,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00417.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00417.tif
417,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00418.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00418.tif
418,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00419.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00419.tif
419,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00420.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00420.tif
420,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00421.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00421.tif
421,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00422.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00422.tif
422,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00423.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00423.tif
423,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00424.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00424.tif
424,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00425.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00425.tif
425,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00426.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00426.tif
426,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00427.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00427.tif
427,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00428.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00428.tif
428,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00429.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00429.tif
429,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00430.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00430.tif
430,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00431.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00431.tif
431,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00432.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00432.tif
432,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00433.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00433.tif
433,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00434.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00434.tif
434,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00435.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00435.tif
435,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00436.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00436.tif
436,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00437.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00437.tif
437,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00438.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00438.tif
438,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00439.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00439.tif
439,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00440.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00440.tif
440,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00441.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00441.tif
441,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00442.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00442.tif
442,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00443.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00443.tif
443,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00444.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00444.tif
444,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00445.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00445.tif
445,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00446.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00446.tif
446,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00447.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00447.tif
447,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00448.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00448.tif
448,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00449.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00449.tif
449,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00450.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00450.tif
450,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00451.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00451.tif
451,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00452.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00452.tif
452,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00453.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00453.tif
453,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00454.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00454.tif
454,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00455.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00455.tif
455,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00456.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00456.tif
456,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00457.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00457.tif
457,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00458.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00458.tif
458,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00459.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00459.tif
459,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00460.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00460.tif
460,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00461.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00461.tif
461,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00462.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00462.tif
462,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00463.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00463.tif
463,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00464.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00464.tif
464,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00465.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00465.tif
465,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00466.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00466.tif
466,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00467.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00467.tif
467,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00468.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00468.tif
468,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00469.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00469.tif
469,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00470.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00470.tif
470,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00471.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00471.tif
471,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00472.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00472.tif
472,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00473.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00473.tif
473,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00474.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00474.tif
474,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00475.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00475.tif
475,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00476.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00476.tif
476,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00477.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00477.tif
477,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00478.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00478.tif
478,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00479.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00479.tif
479,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00480.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00480.tif
480,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00481.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00481.tif
481,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00482.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00482.tif
482,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00483.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00483.tif
483,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00484.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00484.tif
484,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00485.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00485.tif
485,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00486.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00486.tif
486,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00487.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00487.tif
487,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00488.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00488.tif
488,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00489.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00489.tif
489,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00490.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00490.tif
490,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00491.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00491.tif
491,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00492.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00492.tif
492,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00493.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00493.tif
493,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00494.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00494.tif
494,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00495.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00495.tif
495,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00496.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00496.tif
496,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00497.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00497.tif
497,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00498.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00498.tif
498,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00499.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00499.tif
499,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00500.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00500.tif
500,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00501.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00501.tif
501,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00502.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00502.tif
502,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00503.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00503.tif
503,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00504.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00504.tif
504,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00505.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00505.tif
505,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00506.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00506.tif
506,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00507.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00507.tif
507,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00508.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00508.tif
508,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00509.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00509.tif
509,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00510.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00510.tif
510,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00511.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00511.tif
511,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00512.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00512.tif
512,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00513.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00513.tif
513,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00514.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00514.tif
514,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00515.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00515.tif
515,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00516.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00516.tif
516,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00517.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00517.tif
517,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00518.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00518.tif
518,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00519.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00519.tif
519,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00520.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00520.tif
520,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00521.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00521.tif
521,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00522.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00522.tif
522,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00523.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00523.tif
523,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00524.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00524.tif
524,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00525.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00525.tif
525,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00526.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00526.tif
526,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00527.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00527.tif
527,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00528.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00528.tif
528,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00529.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00529.tif
529,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00530.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00530.tif
530,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00531.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00531.tif
531,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00532.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00532.tif
